team_name,group,confederation
mexico,A,CONCACAF
south africa,A,CAF
korea republic,A,AFC
czechia,A,UEFA
canada,B,CONCACAF
bosnia and herzegovina,B,UEFA
qatar,B,AFC
switzerland,B,UEFA
brazil,C,CONMEBOL
morocco,C,CAF
haiti,C,CONCACAF
scotland,C,UEFA
usa,D,CONCACAF
paraguay,D,CONMEBOL
australia,D,AFC
turkiye,D,UEFA
germany,E,UEFA
curacao,E,CONCACAF
cote divoire,E,CAF
ecuador,E,CONMEBOL
netherlands,F,UEFA
japan,F,AFC
sweden,F,UEFA
tunisia,F,CAF
belgium,G,UEFA
egypt,G,CAF
iran,G,AFC
new zealand,G,OFC
spain,H,UEFA
cabo verde,H,CAF
saudi arabia,H,AFC
uruguay,H,CONMEBOL
france,I,UEFA
senegal,I,CAF
iraq,I,AFC
norway,I,UEFA
argentina,J,CONMEBOL
algeria,J,CAF
austria,J,UEFA
jordan,J,AFC
portugal,K,UEFA
congo dr,K,CAF
uzbekistan,K,AFC
colombia,K,CONMEBOL
england,L,UEFA
croatia,L,UEFA
ghana,L,CAF
panama,L,CONCACAF